GUID,Frame Number,Anomaly Score,Anomaly Status
c6ba2cd2-58a0-44f4-9b75-993b4399c675,77,0.005999513,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,78,0.0060723377,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,79,0.005962503,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,80,0.005844328,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,81,0.0059422813,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,82,0.005839286,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,83,0.005687125,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,84,0.0058522047,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,85,0.006059477,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,86,0.0058434466,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,87,0.005818686,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,88,0.005758566,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,89,0.005878051,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,90,0.005883724,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,91,0.0057452247,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,92,0.0057029543,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,93,0.0057305796,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,94,0.0057984777,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,95,0.0055385847,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,96,0.005533404,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,97,0.0056917565,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,98,0.0056469743,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,99,0.0056747566,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,100,0.005733139,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,101,0.00564381,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,102,0.005794171,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,103,0.005688276,Normal
